book_id,source_file_path,era,author,title,book_len,n_chaps
43,data/source_file_dir/STEVENSON_ROBERT_LOUIS_THE_STRANGE_CASE_OF_DR_JEKYLL_AND_MR_HYDE-pg43.txt,victorian gothic,"STEVENSON, ROBERT LOUIS",THE STRANGE CASE OF DR JEKYLL AND MR HYDE,25798,9
175,data/source_file_dir/LEROUX_GASTON_THE_PHANTOM_OF_THE_OPERA-pg175.txt,modern gothic,"LEROUX, GASTON",THE PHANTOM OF THE OPERA,83686,26
345,data/source_file_dir/STOKER_BRAM_DRACULA-pg345.txt,victorian gothic,"STOKER, BRAM",DRACULA,162932,27
696,data/source_file_dir/WALPOLE_HORACE_THE_CASTLE_OF_OTRANTO-pg696.txt,high gothic,"WALPOLE, HORACE",THE CASTLE OF OTRANTO,34654,5
1952,data/source_file_dir/GILMAN_CHARLOTTE_PERKINS_THE_YELLOW_WALLPAPER-pg1952.txt,victorian gothic,"GILMAN, CHARLOTTE PERKINS",THE YELLOW WALLPAPER,6193,1
3268,data/source_file_dir/RADCLIFFE_ANN_WARD_THE_MYSTERIES_OF_UDOLPHO-pg3268.txt,high gothic,"RADCLIFFE, ANN WARD",THE MYSTERIES OF UDOLPHO,70534,13
5182,data/source_file_dir/REEVE_CLARA_THE_OLD_ENGLISH_BARON_A_GOTHIC_STORY-pg5182.txt,high gothic,"REEVE, CLARA",THE OLD ENGLISH BARON A GOTHIC STORY,55191,1
6087,data/source_file_dir/POLIDORI_JOHN_WILLIAM_THE_VAMPYRE-pg6087.txt,classical/romantic gothic,"POLIDORI, JOHN WILLIAM",THE VAMPYRE,11065,4
12122,data/source_file_dir/JACOBS_W_W_THE_MONKEY'S_PAW-pg12122.txt,modern gothic,"JACOBS, W.W.",THE MONKEY'S PAW,4023,3
41445,data/source_file_dir/SHELLEY_MARY_WOLLSTONECRAFT_FRANKENSTEIN-pg41445.txt,classical/romantic gothic,"SHELLEY, MARY WOLLSTONECRAFT",FRANKENSTEIN,67204,23
53685,data/source_file_dir/MATURIN_CHARLES_ROBERT_MELMOTH_THE_WANDERER_VOL._1-pg53685,classical/romantic gothic,"MATURIN, CHARLES",ROBERT MELMOTH THE WANDERER VOL. 1,56938,5
20180856,data/source_file_dir/JACKSON_SHIRLEY_THE_HAUNTING_OF_HILL_HOUSE-pg20180856.txt,modern gothic,"JACKSON, SHIRLEY",THE HAUNTING OF HILL HOUSE,65454,9
